distance,target_velocity,target_acceleration,actual_duration,,,,
30,700,700,0.41351274,,,,
30,700,800,0.20142414,,,,
30,700,900,0.20177212,,,,
30,700,1000,0.20146542,,,,
30,800,100,1.04975228,,,,
30,800,200,0.6259755,,,,
30,800,300,0.54077238,,,,
30,800,400,0.4135617,,,,
30,800,500,0.41362038,,,,
30,800,600,0.41357178,,,,
30,800,700,0.41366274,,,,
30,800,800,0.20161998,,,,
30,800,900,0.2011537,,,,
30,800,1000,0.2015935,,,,
30,900,100,1.0493617,,,,
30,900,200,0.62549842,,,,
30,900,300,0.4985066,,,,
30,900,400,0.41354482,,,,
30,900,500,0.41348104,,,,
30,900,600,0.41412594,,,,
30,900,700,0.37086438,,,,
30,900,800,0.20152608,,,,
30,900,900,0.20143994,,,,
30,900,1000,0.20143814,,,,
30,1000,100,1.049834,,,,
30,1000,200,0.6258015,,,,
30,1000,300,0.49820858,,,,
30,1000,400,0.41341764,,,,
30,1000,500,0.41387806,,,,
30,1000,600,0.41337474,,,,
30,1000,700,0.4134923,,,,
30,1000,800,0.201583,,,,
30,1000,900,0.20147304,,,,
30,1000,1000,0.20161784,,,,
35,100,100,1.05031926,,,,
35,100,200,0.625434,,,,
35,100,300,0.62583468,,,,
35,100,400,0.41354848,,,,
35,100,500,0.4136659,,,,
35,100,600,0.4135256,,,,
35,100,700,0.41413604,,,,
35,100,800,0.41355292,,,,
35,100,900,0.41366844,,,,
35,100,1000,0.41337906,,,,
35,200,100,1.04986896,,,,
35,200,200,0.62555604,,,,
35,200,300,0.62577858,,,,
35,200,400,0.41366952,,,,
35,200,500,0.41333368,,,,
35,200,600,0.41377788,,,,
35,200,700,0.41354906,,,,
35,200,800,0.4134802,,,,
35,200,900,0.2017305,,,,
35,200,1000,0.20158284,,,,
35,300,100,1.0491962,,,,
35,300,200,0.62565632,,,,
35,300,300,0.6257568,,,,
35,300,400,0.41350308,,,,
35,300,500,0.41357614,,,,
35,300,600,0.41348966,,,,
35,300,700,0.41362776,,,,
35,300,800,0.3713924,,,,
35,300,900,0.20146738,,,,
35,300,1000,0.20166062,,,,
35,400,100,1.04907004,,,,
35,400,200,0.6256568,,,,
35,400,300,0.62613298,,,,
35,400,400,0.41328792,,,,
35,400,500,0.41333954,,,,
35,400,600,0.41377948,,,,
35,400,700,0.4136133,,,,
35,400,800,0.37155534,,,,
35,400,900,0.20155366,,,,
35,400,1000,0.20148848,,,,
35,500,100,1.04971128,,,,
35,500,200,0.62634358,,,,
35,500,300,0.6256831,,,,
35,500,400,0.41394038,,,,
35,500,500,0.41327248,,,,
35,500,600,0.41354362,,,,
35,500,700,0.41354662,,,,
35,500,800,0.41314782,,,,
35,500,900,0.20157678,,,,
35,500,1000,0.20157624,,,,
35,600,100,1.05017126,,,,
35,600,200,0.62585598,,,,
35,600,300,0.62557748,,,,
35,600,400,0.41364272,,,,
35,600,500,0.41395982,,,,
35,600,600,0.41362016,,,,
35,600,700,0.41386972,,,,
35,600,800,0.371046,,,,
35,600,900,0.2017712,,,,
35,600,1000,0.20171804,,,,
35,700,100,1.04947258,,,,
35,700,200,0.62554824,,,,
35,700,300,0.62605064,,,,
35,700,400,0.4138091,,,,
35,700,500,0.41375746,,,,
35,700,600,0.41358206,,,,
35,700,700,0.4139052,,,,
35,700,800,0.37136074,,,,
35,700,900,0.20167414,,,,
35,700,1000,0.20172176,,,,
35,800,100,1.04928552,,,,
35,800,200,0.62541678,,,,
35,800,300,0.62531886,,,,
35,800,400,0.41334612,,,,
35,800,500,0.41322986,,,,
35,800,600,0.41350414,,,,
35,800,700,0.41338032,,,,
35,800,800,0.37118998,,,,
35,800,900,0.2015874,,,,
35,800,1000,0.20136958,,,,
